http://localhost:5000/predict?q=<script>alert(1)</script>,1
http://localhost:5000/?q=<script>alert(1)</script>,1
http://localhost:5000/predict?q=<script>alert(1)</script>,1
http://localhost:5000/predict?q=<script>alert(1)</script>,1
http://localhost:5000/?name=John~,1
http://localhost:5000/http://localhost:5000/?id=1'%20OR%201=1--"1=1--,1
http://localhost:5000/?id=1'%20OR%201=1--,1
http://localhost:5000/?id=1'%20OR%201=1--,1
http://localhost:5000/?id=1'%20OR%201=1--,1
http://localhost:5000/?q=<script>alert(1)</script>,1
http://localhost:5000/?id=1'%20OR%201=1--,1
http://localhost:5000/?q=<script>alert(1)</script>,1
http://localhost:5000/?id=1'%20OR%201=1--,1
http://localhost:5000/?id=1'%20OR%201=1--,1
http://localhost:5000/predict?q=<script>alert(1)</script>,1
timestamp,ip,url,action,reason
timestamp,ip,url,action,reason
2025-06-15 11:38:44,127.0.0.1,http://localhost:5000/?search=test,ALLOWED,
2025-07-09 08:24:59,127.0.0.1,http://localhost:5000/?id=1'%20OR%201=1--,BLOCKED,Rule-based detection
2025-07-09 08:25:11,127.0.0.1,http://localhost:5000/favicon.ico,ALLOWED,
2025-07-09 08:25:17,127.0.0.1,http://localhost:5000/?query=test,ALLOWED,
2025-07-09 08:41:15,127.0.0.1,http://localhost:5000/?query=test.,ALLOWED,
2025-07-10 20:17:38,127.0.0.1,http://localhost:5000/?q=<script>alert(1)</script>,BLOCKED,Rule-based detection
2025-07-10 20:17:49,127.0.0.1,http://localhost:5000/favicon.ico,ALLOWED,
2025-07-10 20:23:24,127.0.0.1,http://localhost:5000/?id=1'%20OR%201=1--,BLOCKED,Rule-based detection
2025-07-10 20:27:57,127.0.0.1,http://localhost:5000/?q=<script>alert(1)</script>,BLOCKED,Rule-based detection
2025-07-10 20:29:44,127.0.0.1,http://localhost:5000/?id=<svg%20onload=alert(1)>,BLOCKED,Rule-based detection
2025-07-10 20:30:11,127.0.0.1,http://localhost:5000/?id=user=admin,ALLOWED,
